id;conid;connom;conprenom;contelephone;statuttraitement
1;5288;divinement tellement;derrière souple adepte;agréable jusque derrière;11821
2;3307;aussi toc;dessous sombre;ébranler sympathique adepte;25883
3;28442;blablabla altruiste via;méconnaître;vaste correspondre auparavant;20667
4;19078;psitt aimable de façon à ce que;turquoise tsoin-tsoin;entièrement;24390
5;21547;sympathique loin;vouh;dring à l'encontre de secouriste;12287
6;25620;hirsute tsoin-tsoin;dring;à seule fin de au défaut de;6133
7;24410;exprimer;au dépens de;à moins de svelte marron;7748
8;23797;guide malade;de sorte que;tard adorable;16299
9;3732;via près de;parce que oh chef de cuisine;ding absolument;29570
10;26676;fourbe envers;candide;aussi sédentaire tantôt;16618
