id;customer_id;first_name;last_name;country;telephone
1;8201;Childebert;Bertrand;Saint-Vincent-et-les-Grenadines;+33 135194346
2;17221;Hilaire;Fontaine;Îles Salomon;+33 739132865
3;17793;Bénédicte;Vincent;Tadjikistan;+33 293722282
4;23964;Alphée;Guerin;Bolivie;+33 464884401
5;1362;Gédéon;Joly;Macédoine;+33 426879441
6;7366;Chloé;Colin;Sainte-Lucie;+33 177577329
7;3530;Céline;Perrin;Monténégro;+33 153049991
8;14386;Benjamin;Moreau;Bénin;+33 439591000
9;22868;Vianney;Roy;Malte;0397448004
10;6168;Timoléon;Berger;Chine;+33 635464096
