id;ots_otp;phone_number;otsdateexpir;is_otp_used;is_expired
1;jeune enfant équipe de façon que;bof partir;2024-07-21T20:42:51;false;true
2;quoique;chef conserver;2024-07-21T18:41:22;true;false
3;miaou;exprès;2024-07-21T23:30:50;true;true
4;dessus tâcher glouglou;en triathlète;2024-07-21T22:15:08;true;true
5;au point que;probablement;2024-07-21T14:45:52;false;false
6;vers ah;trop peu;2024-07-22T11:24:55;true;false
7;cultiver même secouriste;à condition que que au moyen de;2024-07-22T04:51:23;false;true
8;tendre;fonctionnaire dès que;2024-07-22T03:30:08;false;false
9;deçà ouch;pour que si bien que snob;2024-07-22T08:34:51;false;true
10;chef à travers;secouriste parlementaire plaire;2024-07-21T22:38:49;true;true
